To_be_vote,first_priority,second_priority,third_priority,capable_to_handing_protest,Others_as_candidate,president_in_perspective,expectation,Executive_system,promisses_followed,born_year,district,ethnic_group,gender
Yes,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1994,Galle,Sinhalese,Male
Yes,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Shankakara,Sajith Premadasa,Peace ful and Development country,Need an executive president,Yes,1994,Trincomalee,Tamils,Female
Yes,Sajith Premadasa,M.K. Sivajalingam,Ashoka Wadigamangawa,Sajith Premadasa,,Sajith Premadasa,Economic growth ,Need an executive president,No,1992,Vavuniya,Tamils,Female
Yes,Sajith Premadasa,Aruna de Soysa,Gotabhaya Rajapakse,Sajith Premadasa,No,Sajith Premadasa,Rural developments ,Need an executive president,Yes,1994,Mullaitivu,Tamils,Female
Yes,Sajith Premadasa,Anura Kumara Dissanayake,Gotabhaya Rajapakse,Sajith Premadasa,No,Sajith Premadasa,Provide most suitable career for internal graduates with good salary.,Need an executive president,Yes,1992,Mullaitivu,Tamils,Female
Yes,Sajith Premadasa,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Sajith Premadasa,No,Sajith Premadasa,Country Development and create job opportunities for graduates ,Need an executive president,No,1992,Mullaitivu,Tamils,Female
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Ketagoda Gamage Jayantha Perera,Gotabhaya Rajapakse,no,Gotabhaya Rajapakse,Reduce living cost,Need an executive president,No,1990,Hambantota,Sinhalese,Male
Yes,Namal Rajapaksa,Gotabhaya Rajapakse,Mahesh Senanayake,Namal Rajapaksa,No,Namal Rajapaksa,safe country free from terrorism ,Need an executive president,No,1990,Colombo,Sinhalese,Female
Yes,Sajith Premadasa,Subramanium Gunaratnam,Gotabhaya Rajapakse,Sajith Premadasa,Sajarathan,Sajith Premadasa,Equality of government,Need an executive president,Yes,1995,Vavuniya,Tamils,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,Gotabhaya Rajapakse,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,"Job 
",Abolish the executive president position,No,1992,Mullaitivu,Tamils,Female
Yes,Mahesh Senanayake,Anura Kumara Dissanayake,Rohan Pallewatte,Mahesh Senanayake,,Mahesh Senanayake,Good governance. Best for Sri Lanka.,Abolish the executive president position,No,1989,Puttalam,Sinhalese,Male
Yes,Gotabhaya Rajapakse,Rohan Pallewatte,Mahesh Senanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,Good stable country to live,Abolish the executive president position,No,1996,Gampaha,Sinhalese,Female
Yes,Gotabhaya Rajapakse,Gotabhaya Rajapakse,Gotabhaya Rajapakse,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1995,Colombo,Sinhalese,Female
Yes,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,No,Sajith Premadasa,To take sri lanka to great heights in every perspective ,Abolish the executive president position,No,1999,Gampaha,Sinhalese,Female
No,Mahesh Senanayake,Mahesh Senanayake,Mahesh Senanayake,Mahesh Senanayake,,Sajith Premadasa,,Need an executive president,No,1992,Galle,Sinhalese,Male
Yes,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,,Sajith Premadasa,Development activities in rural areas especially in north ,Need an executive president,No,1991,Mannar,Tamils,Female
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,Yes. Newest one,Gotabhaya Rajapakse,A real president(not a joker) ,Abolish the executive president position,No,1996,Galle,Sinhalese,Female
Yes,Mahesh Senanayake,Gotabhaya Rajapakse,Sajith Premadasa,Sajith Premadasa,No,Mahesh Senanayake,Develop the facilities in the county ,Need an executive president,No,1995,Colombo,Sinhalese,Female
No,Mahesh Senanayake,Sajith Premadasa,Gotabhaya Rajapakse,Gotabhaya Rajapakse,"Yes, but don't know who is that. Some one who really wants to develop the country and who can handle resources in our country in effective way. I think no one in the parliament can do this. ",Gotabhaya Rajapakse,Develop the country without cheeting. ,Need an executive president,No,1995,Galle,Sinhalese,Female
Yes,Sajith Premadasa,M.L.A.M. Hisbullah,Subramanium Gunaratnam,Sajith Premadasa,no,Sajith Premadasa,,Need an executive president,No,1995,Jaffna,Tamils,Male
Yes,Gotabhaya Rajapakse,Gotabhaya Rajapakse,Gotabhaya Rajapakse,Mahesh Senanayake,No one found from the famus list,Gotabhaya Rajapakse,,Need an executive president,No,1988,Gampaha,Sinhalese,Male
Yes,Sajith Premadasa,No one,No One,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,Make the country peaceful,Need an executive president,Yes,1996,Jaffna,Tamils,Male
Yes,Sajith Premadasa,Anura Kumara Dissanayake,No One,Sajith Premadasa,Not yet,Sajith Premadasa,"Best public transport, education system, priority for minority people ",Need an executive president,No,1997,Colombo,Tamils,Male
Yes,Sajith Premadasa,Subramanium Gunaratnam,Vajirapani Wijesiriwardene,Sajith Premadasa,Sulaxshan,Sajith Premadasa,Peace full country,Need an executive president,No,1995,Jaffna,Tamils,Male
Yes,Sajith Premadasa,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Sajith Premadasa,,Sajith Premadasa,Equality among nations,Need an executive president,No,1995,Jaffna,Tamils,Male
Yes,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,Gotabhaya Rajapakse,No,Gotabhaya Rajapakse,Development of County ,Need an executive president,No,1994,Ratnapura,Sinhalese,Female
No,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,Mahesh Senanayake,Patali champika,Gotabhaya Rajapakse,"Peace, Development and less corruption ",Need an executive president,No,1996,Matara,Sinhalese,Female
Yes,Sajith Premadasa,Ajantha Perera,No One,Sajith Premadasa,,Sajith Premadasa,Corruption free government,Abolish the executive president position,No,1991,Colombo,Tamils,Female
Yes,Anura Kumara Dissanayake,Sajith Premadasa,Duminda Nagamuwa,Anura Kumara Dissanayake,,Sajith Premadasa,peaceful  developed  country ,Need an executive president,No,1996,Jaffna,Sinhalese,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,M.L.A.M. Hisbullah,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1991,Jaffna,Tamils,Female
Yes,Chaminda Anurudhdha,Siripala Amarasinghe,Ajantha Perera,Vajirapani Wijesiriwardene,Kamal Tharma,Ajantha Perera,Free Girls to talk,Need an executive president,Yes,1993,Kilinochchi,Tamils,Male
Yes,Gotabhaya Rajapakse,Namal Rajapaksa,Sajith Premadasa,Namal Rajapaksa,Kumar sangakara,Gotabhaya Rajapakse,Service to country,Need an executive president,No,1996,Colombo,Tamils,Male
